04-26 13:42:50: Training starting...
04-26 13:42:50: New best reward -3.9 (-100.0%) at episode 0, saving model...
04-26 13:42:50: New best reward -3.3 (-15.4%) at episode 3, saving model...
04-26 13:42:50: New best reward -2.7 (-18.2%) at episode 25, saving model...
04-26 13:42:51: New best reward -1.5 (-44.4%) at episode 63, saving model...
04-26 13:42:51: New best reward -0.3 (-80.0%) at episode 65, saving model...
04-26 13:42:51: New best reward 2.7 (-1000.0%) at episode 70, saving model...
04-26 13:42:51: New best reward 3.9 (+44.4%) at episode 93, saving model...
04-26 13:42:52: New best reward 4.6 (+17.9%) at episode 198, saving model...
04-26 13:42:52: New best reward 5.0 (+8.7%) at episode 238, saving model...
04-26 13:42:52: New best reward 6.1 (+22.0%) at episode 248, saving model...
04-26 13:42:52: New best reward 6.4 (+4.9%) at episode 270, saving model...
04-26 13:42:52: New best reward 8.4 (+31.2%) at episode 274, saving model...
04-26 13:42:52: New best reward 9.2 (+9.5%) at episode 304, saving model...
04-26 13:43:00: New best reward 13.1 (+42.4%) at episode 1286, saving model...
04-26 13:43:01: New best reward 15.6 (+19.1%) at episode 1382, saving model...
04-26 13:47:58: New best reward 22.4 (+43.6%) at episode 33427, saving model...
04-26 13:47:59: New best reward 26.9 (+20.1%) at episode 33527, saving model...
04-26 13:48:03: New best reward 31.9 (+18.6%) at episode 33812, saving model...
04-26 13:48:11: New best reward 41.7 (+30.7%) at episode 34467, saving model...
04-26 13:48:22: New best reward 46.7 (+12.0%) at episode 35471, saving model...
04-26 13:48:33: New best reward 46.9 (+0.4%) at episode 36315, saving model...
04-26 13:48:55: New best reward 64.4 (+37.3%) at episode 37946, saving model...
04-26 13:48:59: New best reward 68.9 (+7.0%) at episode 38178, saving model...
04-26 13:48:59: New best reward 74.8 (+8.6%) at episode 38193, saving model...
04-26 13:49:04: New best reward 97.4 (+30.2%) at episode 38493, saving model...
04-26 13:49:51: New best reward 110.9 (+13.9%) at episode 41650, saving model...
04-26 13:49:53: New best reward 116.9 (+5.4%) at episode 41712, saving model...
04-26 13:49:54: New best reward 124.9 (+6.8%) at episode 41749, saving model...
04-26 13:50:01: New best reward 138.9 (+11.2%) at episode 42023, saving model...
04-26 13:50:02: New best reward 180.9 (+30.2%) at episode 42044, saving model...
04-26 13:50:10: New best reward 185.9 (+2.8%) at episode 42498, saving model...
04-26 13:50:31: New best reward 194.9 (+4.8%) at episode 43596, saving model...
04-26 13:52:41: New best reward 222.9 (+14.4%) at episode 50153, saving model...
04-26 13:53:45: New best reward 292.9 (+31.4%) at episode 52671, saving model...
04-26 13:59:01: New best reward 330.9 (+13.0%) at episode 62947, saving model...
04-26 13:59:36: New best reward 346.8 (+4.8%) at episode 64169, saving model...
04-26 14:07:28: New best reward 376.9 (+8.7%) at episode 76909, saving model...
04-26 14:08:29: New best reward 381.9 (+1.3%) at episode 78130, saving model...
04-26 14:09:06: New best reward 474.9 (+24.4%) at episode 78766, saving model...
04-26 14:10:49: New best reward 526.5 (+10.9%) at episode 80952, saving model...
04-26 14:11:41: New best reward 587.0 (+11.5%) at episode 81927, saving model...
04-26 14:12:04: New best reward 671.0 (+14.3%) at episode 82185, saving model...
04-26 14:12:10: New best reward 754.9 (+12.5%) at episode 82267, saving model...
04-26 14:14:15: New best reward 964.9 (+27.8%) at episode 83957, saving model...
04-26 14:14:17: New best reward 1114.4 (+15.5%) at episode 83960, saving model...
04-26 14:29:34: New best reward 1464.6 (+31.4%) at episode 93868, saving model...
04-26 14:43:38: New best reward 2070.9 (+41.4%) at episode 100640, saving model...
04-26 14:47:13: New best reward 2574.9 (+24.3%) at episode 101854, saving model...
