04-26 13:41:01: Training starting...
04-26 13:41:02: New best reward -6.3 (-100.0%) at episode 0, saving model...
04-26 13:41:02: New best reward -5.7 (-9.5%) at episode 13, saving model...
04-26 13:41:03: New best reward -4.5 (-21.1%) at episode 17, saving model...
04-26 13:41:03: New best reward -2.7 (-40.0%) at episode 18, saving model...
04-26 13:41:03: New best reward -0.9 (-66.7%) at episode 27, saving model...
04-26 13:41:06: New best reward 1.7 (-288.9%) at episode 75, saving model...
04-26 13:41:11: New best reward 3.0 (+76.5%) at episode 158, saving model...
04-26 13:41:14: New best reward 3.1 (+3.3%) at episode 198, saving model...
04-26 13:41:16: New best reward 4.5 (+45.2%) at episode 228, saving model...
04-26 13:41:19: New best reward 4.6 (+2.2%) at episode 278, saving model...
04-26 13:41:21: New best reward 5.5 (+19.6%) at episode 299, saving model...
04-26 13:41:27: New best reward 17.2 (+212.7%) at episode 369, saving model...
04-26 13:41:35: New best reward 26.7 (+55.2%) at episode 443, saving model...
04-26 13:41:36: New best reward 33.8 (+26.6%) at episode 444, saving model...
04-26 13:50:00: New best reward 42.1 (+24.6%) at episode 5699, saving model...
04-26 13:50:22: New best reward 48.1 (+14.3%) at episode 5877, saving model...
04-26 13:53:17: New best reward 66.6 (+38.5%) at episode 7201, saving model...
04-26 13:54:58: New best reward 69.8 (+4.8%) at episode 7904, saving model...
04-26 13:56:17: New best reward 278.8 (+299.4%) at episode 8427, saving model...
04-26 14:31:01: New best reward 358.8 (+28.7%) at episode 25136, saving model...
